FCTNO  VLTY  TIME  STRIKE   OPRICE  
    1  0.20   5.0   75.00  25.0000
    2  0.20   5.0   76.00  24.0000
    3  0.20   5.0   77.00  23.0000
    4  0.20   5.0   78.00  22.0000
    5  0.20   5.0   79.00  21.0000
    6  0.20   5.0   80.00  20.0000
    7  0.20   5.0   81.00  19.0000
    8  0.20   5.0   82.00  18.0000
    9  0.20   5.0   83.00  17.0000
   10  0.20   5.0   84.00  16.0000
   11  0.20   5.0   85.00  15.0000
   12  0.20   5.0   86.00  14.0000
   13  0.20   5.0   87.00  13.0000
   14  0.20   5.0   88.00  12.0000
   15  0.20   5.0   89.00  11.0000
   16  0.20   5.0   90.00  10.0001
   17  0.20   5.0   91.00   9.0003
   18  0.20   5.0   92.00   8.0012
   19  0.20   5.0   93.00   7.0043
   20  0.20   5.0   94.00   6.0135
   21  0.20   5.0   95.00   5.0372
   22  0.20   5.0   96.00   4.0908
   23  0.20   5.0   97.00   3.1976
   24  0.20   5.0   98.00   2.3870
   25  0.20   5.0   99.00   1.6886
   26  0.20   5.0  100.00   1.1239
   27  0.20   5.0  101.00   0.6992
   28  0.20   5.0  102.00   0.4045
   29  0.20   5.0  103.00   0.2167
   30  0.20   5.0  104.00   0.1072
   31  0.20   5.0  105.00   0.0488
   32  0.20   5.0  106.00   0.0205
   33  0.20   5.0  107.00   0.0079
   34  0.20   5.0  108.00   0.0028
   35  0.20   5.0  109.00   0.0009
   36  0.20   5.0  110.00   0.0003
   37  0.20   5.0  111.00   0.0001
   38  0.20   5.0  112.00   0.0000
   39  0.20   5.0  113.00   0.0000
   40  0.20   5.0  114.00   0.0000
   41  0.20   5.0  115.00   0.0000
   42  0.20   5.0  116.00   0.0000
   43  0.20   5.0  117.00   0.0000
   44  0.20   5.0  118.00   0.0000
   45  0.20   5.0  119.00   0.0000
   46  0.20   5.0  120.00   0.0000
   47  0.20   5.0  121.00   0.0000
   48  0.20   5.0  122.00   0.0000
   49  0.20   5.0  123.00   0.0000
   50  0.20   5.0  124.00   0.0000
   51  0.20   5.0  125.00   0.0000
   52  0.20  10.0   75.00  25.0000
   53  0.20  10.0   76.00  24.0000
   54  0.20  10.0   77.00  23.0000
   55  0.20  10.0   78.00  22.0000
   56  0.20  10.0   79.00  21.0000
   57  0.20  10.0   80.00  20.0000
   58  0.20  10.0   81.00  19.0000
   59  0.20  10.0   82.00  18.0000
   60  0.20  10.0   83.00  17.0000
   61  0.20  10.0   84.00  16.0000
   62  0.20  10.0   85.00  15.0000
   63  0.20  10.0   86.00  14.0001
   64  0.20  10.0   87.00  13.0002
   65  0.20  10.0   88.00  12.0007
   66  0.20  10.0   89.00  11.0019
   67  0.20  10.0   90.00  10.0048
   68  0.20  10.0   91.00   9.0114
   69  0.20  10.0   92.00   8.0252
   70  0.20  10.0   93.00   7.0519
   71  0.20  10.0   94.00   6.1002
   72  0.20  10.0   95.00   5.1815
   73  0.20  10.0   96.00   4.3102
   74  0.20  10.0   97.00   3.5018
   75  0.20  10.0   98.00   2.7715
   76  0.20  10.0   99.00   2.1314
   77  0.20  10.0  100.00   1.5893
   78  0.20  10.0  101.00   1.1468
   79  0.20  10.0  102.00   0.7995
   80  0.20  10.0  103.00   0.5377
   81  0.20  10.0  104.00   0.3486
   82  0.20  10.0  105.00   0.2177
   83  0.20  10.0  106.00   0.1308
   84  0.20  10.0  107.00   0.0757
   85  0.20  10.0  108.00   0.0421
   86  0.20  10.0  109.00   0.0226
   87  0.20  10.0  110.00   0.0116
   88  0.20  10.0  111.00   0.0058
   89  0.20  10.0  112.00   0.0028
   90  0.20  10.0  113.00   0.0013
   91  0.20  10.0  114.00   0.0006
   92  0.20  10.0  115.00   0.0002
   93  0.20  10.0  116.00   0.0001
   94  0.20  10.0  117.00   0.0000
   95  0.20  10.0  118.00   0.0000
   96  0.20  10.0  119.00   0.0000
   97  0.20  10.0  120.00   0.0000
   98  0.20  10.0  121.00   0.0000
   99  0.20  10.0  122.00   0.0000
  100  0.20  10.0  123.00   0.0000
  101  0.20  10.0  124.00   0.0000
  102  0.20  10.0  125.00   0.0000
  103  0.20  15.0   75.00  25.0000
  104  0.20  15.0   76.00  24.0000
  105  0.20  15.0   77.00  23.0000
  106  0.20  15.0   78.00  22.0000
  107  0.20  15.0   79.00  21.0000
  108  0.20  15.0   80.00  20.0000
  109  0.20  15.0   81.00  19.0000
  110  0.20  15.0   82.00  18.0000
  111  0.20  15.0   83.00  17.0001
  112  0.20  15.0   84.00  16.0002
  113  0.20  15.0   85.00  15.0005
  114  0.20  15.0   86.00  14.0012
  115  0.20  15.0   87.00  13.0029
  116  0.20  15.0   88.00  12.0063
  117  0.20  15.0   89.00  11.0130
  118  0.20  15.0   90.00  10.0254
  119  0.20  15.0   91.00   9.0472
  120  0.20  15.0   92.00   8.0838
  121  0.20  15.0   93.00   7.1419
  122  0.20  15.0   94.00   6.2304
  123  0.20  15.0   95.00   5.3590
  124  0.20  15.0   96.00   4.5384
  125  0.20  15.0   97.00   3.7790
  126  0.20  15.0   98.00   3.0898
  127  0.20  15.0   99.00   2.4776
  128  0.20  15.0  100.00   1.9465
  129  0.20  15.0  101.00   1.4967
  130  0.20  15.0  102.00   1.1256
  131  0.20  15.0  103.00   0.8273
  132  0.20  15.0  104.00   0.5941
  133  0.20  15.0  105.00   0.4166
  134  0.20  15.0  106.00   0.2852
  135  0.20  15.0  107.00   0.1906
  136  0.20  15.0  108.00   0.1243
  137  0.20  15.0  109.00   0.0791
  138  0.20  15.0  110.00   0.0492
  139  0.20  15.0  111.00   0.0299
  140  0.20  15.0  112.00   0.0177
  141  0.20  15.0  113.00   0.0102
  142  0.20  15.0  114.00   0.0058
  143  0.20  15.0  115.00   0.0032
  144  0.20  15.0  116.00   0.0017
  145  0.20  15.0  117.00   0.0009
  146  0.20  15.0  118.00   0.0005
  147  0.20  15.0  119.00   0.0002
  148  0.20  15.0  120.00   0.0001
  149  0.20  15.0  121.00   0.0001
  150  0.20  15.0  122.00   0.0000
  151  0.20  15.0  123.00   0.0000
