UPPER_SECTION_HEIGHT,WidTH,BASE_HEIGHT,Regen Pass/Fail,Volume,Surface Area,Density,Mass,CG x,CG y,CG z,AREA_TOP_PLATE_ATTACH_SURF,AREA_SIDE_SURF
500,1000,500,Pass,3034207732.332257,17949406.969335,1.000000,3034207732.332257,2144.348344,339.797291,501.703553,3707628.490558,3044956.823022
500,1000,1500,Pass,8013979915.098988,29999877.885189,1.000000,8013979915.098988,2364.097182,817.840524,501.786621,3707628.490558,8043754.914787
500,1000,2500,Pass,13009388397.217537,42024562.207172,1.000000,13009388397.217537,2416.127810,1311.720487,501.225876,3707628.490558,13042553.006552
500,1000,3500,Pass,18008186477.508835,54022158.390733,1.000000,18008186477.508835,2439.242635,1808.814492,500.885592,3707628.490558,18041351.098317
500,1000,4500,Pass,23006984557.827419,66019754.574380,1.000000,23006984557.827419,2452.313003,2307.171286,500.693177,3707628.490558,23040149.190082
500,1200,500,Pass,3539689254.586054,20131514.826438,1.000000,3539689254.586054,2120.797400,342.368661,616.033200,4246434.281277,3044956.823022
500,1200,1500,Pass,9336008643.015472,33176979.338453,1.000000,9336008643.015472,2347.874730,818.295081,616.838531,4246434.281277,8043754.914787
500,1200,2500,Pass,15298536170.636768,45877803.521940,1.000000,15298536170.636768,2407.624405,1303.689965,611.445610,4246434.281277,13042553.006552
500,1200,3500,Pass,21297093866.937016,58275399.705532,1.000000,21297093866.937016,2433.473728,1795.661104,608.221829,4246434.281277,18041351.098317
500,1200,4500,Pass,27295651563.269386,70672995.889172,1.000000,27295651563.269386,2447.961633,2291.161125,606.414980,4246434.281277,23040149.190082
500,1400,500,Pass,4024411826.444608,22460469.468376,1.000000,4024411826.444608,2098.677198,344.783811,729.757631,4743721.874421,3044956.823022
500,1400,1500,Pass,10600535060.907755,36949339.001813,1.000000,10600535060.907755,2332.596408,818.723184,731.293422,4743721.874421,8043754.914787
500,1400,2500,Pass,17523635524.256573,50440312.146225,1.000000,17523635524.256573,2399.760018,1296.262980,721.085308,4743721.874421,13042553.006552
500,1400,3500,Pass,24521952836.607166,63237908.329755,1.000000,24521952836.607166,2428.195988,1783.627691,715.067774,4743721.874421,18041351.098317
